warehouse_id,product_id,stock_level,last_updated
9,2799,649,11/06/2024
3,4629,652,06/15/2024
11,1974,406,09/28/2024
6,3652,387,11/15/2024
4,909,529,10/28/2024
9,2704,867,05/11/2024
3,3915,110,05/15/2024
11,2679,140,12/14/2024
9,93,587,05/16/2024
12,4565,704,07/31/2024
5,4368,27,10/07/2024
12,3290,569,02/03/2024
3,47,439,03/17/2024
5,4052,306,01/19/2024
12,745,190,08/20/2024
14,278,714,05/16/2024
10,2464,979,01/01/2024
14,2226,207,05/28/2024
19,4624,189,04/18/2024
4,3126,905,11/15/2024
4,4750,892,01/25/2024
6,4600,774,07/05/2024
18,2847,337,10/31/2024
1,1162,572,08/06/2024
13,3402,775,05/12/2024
14,2750,205,06/05/2024
17,1347,499,12/26/2024
1,2159,979,01/15/2024
2,4813,580,07/28/2024
13,2817,392,05/22/2024
9,2524,4,10/26/2024
14,4191,854,05/22/2024
2,2914,882,06/23/2024
16,10,620,12/24/2024
11,2495,319,12/03/2024
10,2188,241,11/05/2024
4,4473,125,04/13/2024
5,4479,93,09/23/2024
10,448,113,12/14/2024
15,4108,681,12/01/2024
8,4708,26,02/06/2024
14,581,197,09/09/2024
15,4118,206,03/08/2024
15,2690,883,10/12/2024
11,2849,451,03/06/2024
10,389,111,12/24/2024
14,1043,587,07/08/2024
19,3413,425,11/25/2024
15,248,721,06/07/2024
19,1516,478,05/12/2024
18,1979,794,06/24/2024
7,1230,362,10/16/2024
13,1093,985,11/18/2024
3,1815,154,12/12/2024
13,371,303,07/10/2024
18,3024,62,12/18/2024
13,1448,536,07/30/2024
5,2604,555,12/17/2024
17,942,369,11/01/2024
19,3926,809,12/12/2024
9,3589,696,06/25/2024
8,1814,385,04/17/2024
1,3561,352,09/12/2024
15,4307,487,12/30/2024
18,2174,257,09/01/2024
12,700,539,10/31/2024
16,3858,861,03/22/2024
6,4615,407,10/21/2024
15,4869,829,06/10/2024
7,2577,974,02/16/2024
10,3120,906,09/20/2024
6,4328,895,02/23/2024
19,487,861,01/31/2024
19,1200,907,12/14/2024
9,4536,53,06/09/2024
10,2116,105,01/03/2024
2,731,547,03/28/2024
8,44,117,08/07/2024
8,896,259,05/16/2024
15,3473,823,04/28/2024
4,2599,853,09/21/2024
17,3803,529,04/03/2024
6,1944,254,09/30/2024
5,3775,461,12/28/2024
6,2769,364,10/16/2024
9,4861,984,12/26/2024
14,1469,842,06/21/2024
15,2174,992,03/23/2024
11,4494,328,07/21/2024
11,517,881,08/17/2024
17,2098,540,03/22/2024
15,3945,671,04/22/2024
11,2747,228,09/22/2024
13,328,678,04/01/2024
12,1344,192,07/04/2024
2,1734,818,09/03/2024
3,4186,432,05/01/2024
19,1639,532,10/10/2024
16,3459,734,03/04/2024
6,3676,784,04/23/2024
13,1333,189,05/27/2024
7,4011,495,03/14/2024
16,3606,148,05/12/2024
2,4350,491,07/20/2024
1,1719,657,03/24/2024
7,3872,159,08/31/2024
3,3106,815,02/02/2024
11,2840,332,06/01/2024
18,2348,420,08/19/2024
5,185,723,12/20/2024
7,2165,720,09/14/2024
1,2580,704,05/21/2024
15,2807,338,08/10/2024
11,7,783,10/06/2024
18,3747,239,01/01/2024
19,3999,186,10/21/2024
5,3563,571,08/15/2024
17,728,66,08/21/2024
18,2480,462,04/07/2024
19,734,830,06/01/2024
11,2054,533,07/16/2024
1,95,546,08/31/2024
10,1852,27,08/29/2024
15,150,248,03/14/2024
13,4141,334,07/17/2024
10,4308,129,06/02/2024
4,1041,866,08/17/2024
8,159,64,06/06/2024
14,990,388,06/10/2024
10,4493,354,06/03/2024
2,946,728,04/08/2024
17,2628,501,11/10/2024
11,2383,296,01/30/2024
9,2167,700,06/04/2024
6,456,232,07/18/2024
1,4545,509,06/12/2024
16,386,241,01/09/2024
2,3480,260,11/13/2024
11,2908,902,08/30/2024
5,4555,481,09/27/2024
11,287,354,06/22/2024
4,3462,88,09/08/2024
1,4634,533,10/23/2024
13,3959,480,08/15/2024
10,3715,115,07/11/2024
4,3026,815,07/30/2024
8,2632,328,11/27/2024
3,735,3,06/29/2024
7,4312,420,08/22/2024
4,253,770,09/21/2024
6,4440,295,08/13/2024
10,415,332,02/02/2024
5,2238,810,04/05/2024
2,471,936,05/14/2024
8,4884,197,12/13/2024
2,3966,47,02/27/2024
2,1606,805,01/18/2024
2,632,810,09/20/2024
9,2866,959,08/02/2024
10,1828,384,11/25/2024
15,145,105,09/13/2024
15,2506,133,03/22/2024
9,4888,229,05/10/2024
13,2845,439,11/12/2024
4,4719,619,11/08/2024
12,3990,395,06/29/2024
6,4948,658,03/08/2024
11,152,511,12/08/2024
2,233,461,12/12/2024
18,825,95,07/06/2024
15,2637,569,07/04/2024
13,3721,66,01/30/2024
8,4187,49,11/27/2024
3,4052,754,11/05/2024
10,587,523,04/08/2024
12,2203,923,04/17/2024
8,339,727,05/28/2024
5,4068,362,11/21/2024
13,901,506,03/27/2024
9,3291,863,06/19/2024
9,190,288,11/11/2024
14,729,978,07/05/2024
16,4113,792,05/08/2024
14,267,285,05/15/2024
1,4194,294,09/22/2024
3,1045,341,02/20/2024
11,4783,756,01/29/2024
9,1566,276,07/30/2024
10,1990,485,12/24/2024
6,208,105,02/01/2024
13,944,993,07/17/2024
7,3698,72,07/29/2024
15,4328,210,11/02/2024
18,4813,333,10/11/2024
1,1237,496,12/13/2024
18,278,524,12/24/2024
1,4224,376,02/21/2024
18,3211,28,01/22/2024
9,3394,546,01/06/2024
11,868,339,04/18/2024
5,3571,516,03/20/2024
6,4610,940,03/16/2024
1,3597,968,11/04/2024
2,4097,540,01/16/2024
1,1524,51,11/02/2024
8,2210,955,03/16/2024
7,327,606,07/13/2024
4,4932,947,08/11/2024
17,2605,518,09/28/2024
3,756,638,07/03/2024
14,3380,462,06/04/2024
4,4939,470,06/11/2024
6,1349,902,06/14/2024
12,3029,717,05/18/2024
16,3214,87,07/19/2024
5,1682,619,09/15/2024
18,158,285,07/22/2024
12,2442,528,04/04/2024
12,2110,367,08/17/2024
3,1004,228,03/31/2024
12,2932,793,01/13/2024
5,4556,674,03/24/2024
5,157,85,07/26/2024
6,1091,718,08/10/2024
1,4378,931,04/11/2024
3,4826,878,11/09/2024
12,392,83,09/26/2024
7,2698,536,03/20/2024
9,2678,214,05/28/2024
12,403,290,11/23/2024
12,4055,708,02/28/2024
13,2077,445,02/17/2024
9,2289,422,09/19/2024
16,3113,591,04/14/2024
14,159,621,01/10/2024
6,4060,906,09/19/2024
13,3763,311,11/28/2024
1,327,904,01/26/2024
18,2578,621,08/23/2024
17,2964,133,09/07/2024
17,971,814,04/23/2024
8,1106,785,07/23/2024
19,1184,878,06/29/2024
16,1957,977,05/05/2024
6,2042,545,07/27/2024
4,1409,615,07/30/2024
8,1660,533,07/02/2024
12,898,113,07/15/2024
3,1543,29,05/16/2024
7,1338,228,10/19/2024
1,1138,519,02/21/2024
4,2589,622,12/23/2024
8,1847,795,10/06/2024
6,3671,671,08/29/2024
13,510,887,03/16/2024
3,2289,955,07/03/2024
8,4905,47,06/12/2024
15,263,573,01/09/2024
1,4114,12,07/14/2024
2,2849,209,02/20/2024
7,3933,697,12/11/2024
12,395,749,03/21/2024
8,450,657,07/12/2024
13,4251,637,09/13/2024
15,3445,414,02/12/2024
1,145,658,04/28/2024
10,1988,878,05/30/2024
5,2010,851,01/07/2024
9,1018,711,01/03/2024
