order_id,customer_id,order_date,origin,destination,order_value
1,15796,11/22/2024,HN,HCM,4612000
2,861,01/31/2024,HCM,DN,6460000
3,5391,02/25/2024,CT,HN,5578000
4,11965,11/21/2024,CT,HCM,7107000
5,11285,03/30/2024,HN,HCM,5904000
6,6266,09/04/2024,HN,HN,4746000
7,16851,07/03/2024,HCM,DN,4349000
8,4427,04/17/2024,CT,CT,2672000
9,14424,06/06/2024,HN,CT,3551000
10,11364,08/09/2024,HCM,HCM,6691000
11,16024,07/19/2024,HN,CT,3635000
12,8323,06/01/2024,DN,CT,2002000
13,1686,12/15/2024,CT,HN,2781000
14,770,01/26/2024,CT,CT,2980000
15,2434,11/18/2024,HCM,CT,7532000
16,5312,06/21/2024,CT,HN,5021000
17,5052,07/19/2024,HN,CT,4995000
18,6421,08/14/2024,DN,HN,3905000
19,17569,09/19/2024,CT,HCM,4397000
20,19770,10/19/2024,DN,DN,9105000
21,6397,04/21/2024,DN,CT,9818000
22,8667,03/31/2024,HCM,CT,4602000
23,18943,01/28/2024,DN,CT,4580000
24,18432,08/24/2024,HCM,DN,5048000
25,2748,12/29/2024,HN,DN,7357000
26,190,11/14/2024,HCM,DN,6190000
27,19119,04/29/2024,HN,CT,4089000
28,3006,05/02/2024,CT,CT,6409000
29,1900,09/02/2024,DN,HCM,4520000
30,1268,03/01/2024,HCM,CT,5822000
31,17913,05/13/2024,HN,HCM,5927000
32,11395,11/15/2024,HN,HCM,1601000
33,3557,12/10/2024,CT,DN,2942000
34,3891,07/29/2024,HCM,CT,6374000
35,8839,04/25/2024,HN,HN,5795000
36,14503,01/29/2024,DN,HCM,5351000
37,10628,10/13/2024,HN,HN,9707000
38,8793,09/18/2024,HN,DN,7667000
39,10556,06/10/2024,CT,DN,8211000
40,10254,05/31/2024,DN,CT,7759000
41,8434,07/20/2024,HCM,DN,5998000
42,10234,11/10/2024,DN,HN,6155000
43,11017,11/26/2024,DN,HN,5806000
44,2613,10/06/2024,CT,HN,
45,15788,01/02/2024,HCM,DN,5956000
46,17160,11/01/2024,DN,DN,7809000
47,12207,09/10/2024,HCM,HCM,3352000
48,8227,12/01/2024,HCM,CT,5149000
49,14542,03/27/2024,HN,HCM,6068000
50,3153,10/17/2024,CT,HN,5352000
51,1586,10/25/2024,CT,CT,2364000
52,3944,12/07/2024,CT,HCM,4178000
53,19458,10/17/2024,HN,HCM,6310000
54,1022,05/13/2024,HN,HN,5601000
55,11654,07/02/2024,HCM,HCM,3493000
56,10806,12/08/2024,HCM,DN,5233000
57,13418,09/09/2024,CT,DN,2457000
58,7990,10/05/2024,HCM,HN,5524000
59,9693,12/22/2024,CT,HCM,6047000
60,12991,05/18/2024,CT,HCM,4214000
61,6874,12/09/2024,CT,HN,7558000
62,5676,07/03/2024,DN,HN,4665000
63,162,09/19/2024,HCM,CT,2800000
64,4298,06/24/2024,DN,DN,6615000
65,996,03/25/2024,HCM,HCM,4925000
66,11535,09/04/2024,DN,HCM,6112000
67,7630,03/19/2024,HCM,HN,5243000
68,1017,03/12/2024,DN,CT,4982000
69,8530,08/07/2024,HN,HCM,4647000
70,17263,12/06/2024,HN,DN,6583000
71,9269,11/23/2024,CT,CT,3652000
72,12186,04/01/2024,CT,HN,4696000
73,6332,04/17/2024,HCM,HN,5170000
74,8572,08/22/2024,HN,DN,3039000
75,7209,06/13/2024,CT,DN,9307000
76,5277,04/26/2024,HCM,DN,5285000
77,18447,08/06/2024,CT,HCM,1335000
78,16449,06/02/2024,HN,HN,5923000
79,16217,03/16/2024,CT,DN,5116000
80,8007,07/09/2024,CT,DN,6780000
81,2569,12/19/2024,DN,HCM,4410000
82,2028,04/04/2024,DN,HCM,898000
83,2696,01/03/2024,CT,CT,4972000
84,15423,03/30/2024,CT,HN,5309000
85,5259,11/08/2024,DN,CT,2818000
86,6737,02/23/2024,HN,HN,6753000
87,392,07/16/2024,DN,CT,2897000
88,13987,02/27/2024,HCM,HCM,7772000
89,12667,05/27/2024,HCM,CT,6189000
90,5893,06/27/2024,CT,HCM,1973000
91,3562,06/16/2024,HCM,CT,
92,6185,06/17/2024,HCM,CT,4532000
93,19484,03/05/2024,DN,HCM,4562000
94,8393,09/25/2024,HCM,DN,7761000
95,13068,07/10/2024,HN,HN,3748000
96,15266,12/06/2024,DN,CT,3074000
97,19489,01/12/2024,HN,DN,2506000
98,2455,11/15/2024,HCM,DN,3048000
99,11838,06/20/2024,DN,DN,4711000
100,14040,09/24/2024,HCM,CT,5540000
101,19116,10/08/2024,HCM,HCM,7952000
102,10966,10/24/2024,HN,HCM,4957000
103,9763,04/13/2024,HCM,CT,5601000
104,5057,06/04/2024,CT,HN,8030000
105,14949,08/04/2024,HCM,HN,7830000
106,8111,10/30/2024,DN,CT,4401000
107,13774,08/28/2024,DN,CT,5714000
108,17413,09/23/2024,CT,CT,2762000
109,503,04/08/2024,HN,HN,3907000
110,6911,10/18/2024,HN,CT,5180000
111,12686,06/05/2024,HCM,DN,6107000
112,207,02/09/2024,HCM,HCM,3185000
113,17869,10/19/2024,HCM,DN,4115000
114,15935,06/25/2024,HN,DN,3569000
115,17248,03/12/2024,HCM,HN,4574000
116,19175,06/29/2024,DN,CT,6907000
117,8756,12/29/2024,HN,CT,4468000
118,12384,04/20/2024,CT,DN,4262000
119,18142,11/20/2024,CT,HN,4926000
120,14821,02/23/2024,HN,HCM,5011000
121,7575,05/17/2024,DN,HCM,7088000
122,6375,08/20/2024,DN,DN,7655000
123,1679,10/29/2024,HCM,HCM,10102000
124,19627,03/19/2024,HN,CT,8760000
125,1060,07/26/2024,HN,HCM,5737000
126,16199,02/01/2024,CT,CT,6095000
127,9915,11/07/2024,DN,CT,5915000
128,19542,08/19/2024,CT,CT,4452000
129,10818,06/27/2024,HN,DN,2060000
130,10922,12/30/2024,HN,HCM,1881000
131,9790,06/22/2024,HN,HN,9608000
132,16313,02/04/2024,HCM,HCM,4211000
133,11253,03/28/2024,DN,CT,5076000
134,2694,04/24/2024,HCM,HN,3344000
135,13932,10/17/2024,CT,HN,3865000
136,3628,04/13/2024,HN,DN,2457000
137,16158,07/08/2024,HN,CT,3765000
138,10174,06/12/2024,HN,HCM,6121000
139,18048,03/16/2024,HN,HN,6019000
140,10231,07/06/2024,DN,CT,7862000
141,15708,03/20/2024,HCM,HN,922000
142,11495,10/31/2024,HCM,HN,396000
143,1307,11/20/2024,HN,CT,3739000
144,6777,04/20/2024,HCM,HCM,126000
145,9475,01/20/2024,HN,DN,4228000
146,7527,06/24/2024,DN,HCM,8322000
147,5531,08/15/2024,CT,CT,6946000
148,3749,07/01/2024,DN,HCM,4147000
149,13546,04/05/2024,HCM,HN,7388000
150,664,12/25/2024,HCM,DN,4512000
151,1999,09/23/2024,HCM,HN,5313000
152,7995,11/26/2024,HN,DN,4562000
153,17880,06/25/2024,HCM,CT,3402000
154,3305,01/12/2024,HN,CT,2639000
155,18238,06/22/2024,HCM,CT,4254000
156,13809,01/31/2024,HCM,CT,4683000
157,6586,10/22/2024,HN,HN,2779000
158,17676,04/03/2024,CT,CT,2902000
159,19966,12/05/2024,DN,DN,4932000
160,11650,10/09/2024,CT,CT,3444000
161,1637,06/01/2024,HN,DN,2167000
162,17083,12/19/2024,HCM,CT,3706000
163,4738,02/04/2024,HCM,CT,7113000
164,14556,06/28/2024,CT,HCM,2461000
165,13878,02/08/2024,DN,HN,5135000
166,855,07/09/2024,HN,DN,6279000
167,5856,11/23/2024,CT,DN,5456000
168,7393,05/26/2024,CT,DN,4989000
169,13950,04/16/2024,CT,HN,5089000
170,18092,05/25/2024,HCM,DN,9413000
171,5792,04/27/2024,CT,DN,6491000
172,4932,07/26/2024,DN,HCM,6459000
173,19895,03/19/2024,HCM,HN,
174,203,11/30/2024,HCM,CT,3019000
175,11448,10/11/2024,HN,DN,4221000
176,12689,09/29/2024,HN,HCM,4076000
177,4390,01/15/2024,CT,DN,5890000
178,2328,06/16/2024,CT,HCM,3178000
179,8005,03/15/2024,HN,HCM,4788000
180,19316,09/15/2024,CT,HN,5265000
181,7778,06/14/2024,CT,CT,2355000
182,198,05/04/2024,CT,HN,3534000
183,1931,09/02/2024,CT,CT,6812000
184,11775,06/24/2024,HCM,DN,1846000
185,15088,02/26/2024,DN,CT,9424000
186,9340,07/22/2024,HCM,CT,622000
187,11590,06/25/2024,HN,CT,6337000
188,18896,08/10/2024,DN,HCM,1125000
189,15709,09/28/2024,HN,HCM,782000
190,17044,09/17/2024,HCM,DN,6141000
191,2812,07/27/2024,DN,CT,6720000
192,14244,03/03/2024,HCM,CT,4068000
193,6547,08/28/2024,CT,HCM,6045000
194,1987,02/25/2024,HCM,CT,2261000
195,8339,08/19/2024,HCM,HCM,8757000
196,11412,07/07/2024,DN,HN,1494000
197,2912,09/24/2024,CT,DN,3781000
198,1735,05/17/2024,HN,HN,3772000
199,18228,12/11/2024,CT,HN,6539000
200,8681,06/20/2024,CT,DN,3281000
201,19361,08/07/2024,CT,CT,6484000
202,18344,08/02/2024,CT,HCM,5517000
203,5760,10/02/2024,HCM,HN,2894000
204,2386,12/02/2024,DN,DN,3813000
205,11112,09/07/2024,DN,HN,3184000
206,4737,04/23/2024,HCM,HCM,6293000
207,1803,08/02/2024,HCM,HCM,3995000
208,8156,04/26/2024,HN,CT,5274000
209,8121,12/25/2024,HN,HN,5814000
210,6617,10/09/2024,HN,CT,4523000
211,14258,07/23/2024,HCM,DN,4500000
212,14487,10/21/2024,CT,HN,5463000
213,16647,12/28/2024,CT,HCM,5005000
214,14076,03/29/2024,HCM,CT,2668000
215,9209,08/05/2024,DN,DN,2779000
216,16372,11/14/2024,CT,HN,2012000
217,11836,03/15/2024,HN,HN,4903000
218,13169,10/20/2024,HCM,HN,3170000
219,2050,03/13/2024,HN,HCM,7924000
220,5424,12/28/2024,CT,DN,5142000
221,14590,08/12/2024,DN,HCM,3470000
222,19493,06/27/2024,HN,CT,4982000
223,7159,03/20/2024,HCM,DN,8544000
224,10249,08/28/2024,DN,DN,1148000
225,7401,07/30/2024,HCM,HN,4526000
226,19555,06/09/2024,DN,CT,1769000
227,9875,03/17/2024,DN,CT,2144000
228,15152,02/04/2024,DN,DN,5236000
229,18640,03/08/2024,HCM,HN,8817000
230,1155,03/03/2024,CT,DN,8086000
231,4500,12/16/2024,DN,HN,7317000
232,6296,04/03/2024,HN,DN,2909000
233,12184,05/10/2024,DN,HCM,7898000
234,12875,10/23/2024,DN,DN,4631000
235,18033,03/31/2024,DN,CT,6487000
236,5540,06/14/2024,HN,HCM,3195000
237,9638,09/18/2024,HN,CT,3793000
238,15587,01/08/2024,HN,HCM,6346000
