shipment_id,order_id,carrier,shipping_cost,delivery_days,status
1,37105,DHL,37900,2,Delivered
2,69661,GHN,44100,8,Delivered
3,55728,ViettelPost,31000,5,Late
4,57697,DHL,37500,6,Delivered
5,7578,DHL,62800,2,Delivered
6,1613,ViettelPost,65500,1,Late
7,48926,ViettelPost,41700,1,Delivered
8,54287,J&T,40400,7,Delivered
9,61925,GHN,42600,4,Delivered
10,80735,J&T,77200,4,Delivered
11,57810,DHL,69300,6,Delivered
12,3163,J&T,64800,3,Delivered
13,54091,DHL,68400,3,Delivered
14,65738,DHL,53900,5,Delivered
15,62428,ViettelPost,68200,9,Delivered
16,22322,J&T,56700,7,Late
17,10408,ViettelPost,31900,4,Late
18,46215,DHL,61900,7,Delivered
19,86798,J&T,53400,8,Delivered
20,15280,DHL,39800,9,Late
21,97796,DHL,35700,2,Delivered
22,1851,J&T,29500,6,Late
23,42934,J&T,50700,4,Late
24,12123,DHL,66100,8,Delivered
25,52526,GHN,31900,4,Late
26,73619,DHL,63100,6,Delivered
27,34696,ViettelPost,47000,7,Late
28,16023,ViettelPost,58600,4,Late
29,99450,ViettelPost,55100,2,Delivered
30,94317,J&T,74200,7,Delivered
31,88396,GHN,32600,2,Delivered
32,37043,GHN,35800,5,Delivered
33,56001,DHL,63000,5,Delivered
34,23453,ViettelPost,62800,1,Delivered
35,50969,ViettelPost,64300,6,Late
36,93617,J&T,31900,3,Delivered
37,34234,J&T,39100,3,Delivered
38,35980,ViettelPost,46000,8,Delivered
39,94350,GHN,55500,9,Delivered
40,29538,J&T,65000,8,Delivered
41,47523,GHN,42000,9,Delivered
42,62606,ViettelPost,65500,1,Delivered
43,32912,DHL,9900,9,Delivered
44,10948,ViettelPost,62100,6,Delivered
45,39573,GHN,77900,9,Delivered
46,14444,GHN,68100,3,Delivered
47,61171,GHN,49600,3,Delivered
48,14852,DHL,56400,2,Late
49,46778,ViettelPost,49600,5,Delivered
50,92440,ViettelPost,29100,8,Delivered
51,61040,ViettelPost,36200,3,Delivered
52,75753,DHL,83600,9,Delivered
53,60265,GHN,35900,1,Delivered
54,36467,J&T,39100,1,Delivered
55,52337,DHL,48000,5,Delivered
56,55412,J&T,17400,5,Delivered
57,80841,DHL,81400,9,Delivered
58,96972,DHL,-19800,2,Late
59,29575,J&T,61700,7,Delivered
60,46241,J&T,94800,1,Late
61,98098,J&T,55600,2,Delivered
62,94192,DHL,52300,6,Delivered
63,23707,GHN,52900,4,Delivered
64,63352,J&T,71300,2,Delivered
65,2793,ViettelPost,74500,8,Delivered
